Stock AMZN Epoch[20/20] | train(mse):0.031704, mae:0.241078 | test(mse):0.002974, mape:0.094943
Stock IBM Epoch[20/20] | train(mse):0.027879, mae:0.205256 | test(mse):0.002182, mape:0.054792
Stock TSLA Epoch[20/20] | train(mse):0.050024, mae:0.293040 | test(mse):0.005600, mape:0.078892
Stock AAPL Epoch[20/20] | train(mse):0.034329, mae:0.239978 | test(mse):0.002047, mape:0.046226
Stock AAPL Epoch[5/5] | train(mse):0.115266, mae:0.541056 | test(mse):0.004422, mape:0.071699
Stock PFE Epoch[20/20] | train(mse):0.033319, mae:0.225759 | test(mse):0.010076, mape:0.128298
Stock PFE Epoch[20/20] | train(mse):0.033285, mae:0.226015 | test(mse):0.009934, mape:0.129302
Stock PFE Epoch[20/20] | train(mse):0.033305, mae:0.226018 | test(mse):0.009919, mape:0.128980
Stock PFE Epoch[20/20] | train(mse):0.033312, mae:0.226490 | test(mse):0.009924, mape:0.128926
Stock PFE Epoch[5/5] | train(mse):0.255399, mae:0.795616 | test(mse):0.024012, mape:0.284531
Stock PFE Epoch[5/5] | train(mse):0.101492, mape:0.519020 | test(mse):0.010209, mape:0.127453
Stock PFE Epoch[5/5] | train(mse):0.091991, mape:0.452873 | test(mse):0.018426, mape:0.159608
Stock PFE Epoch[5/5] | train(mse):0.162575, mape:0.621063 | test(mse):0.014310, mape:0.205460
Stock PFE Epoch[5/5] | train(mse):0.130939, mape:0.563491 | test(mse):0.025950, mape:0.194941
Stock PFE Epoch[5/5] | train(mse):0.173064, mape:0.651840 | test(mse):0.024992, mape:0.191324
Stock PFE Epoch[5/5] | train(mse):0.094197, mape:0.469720 | test(mse):0.014751, mape:0.209788
Stock PFE Epoch[5/5] | train(mse):0.100405, mape:0.450843 | test(mse):0.023584, mape:0.184970
Stock PFE Epoch[5/5] | train(mse):0.151362, mape:0.614175 | test(mse):0.030906, mape:0.218677
Stock PFE Epoch[5/5] | train(mse):0.120089, mape:0.562165 | test(mse):0.022535, mape:0.274577
Stock PFE Epoch[5/5] | train(mse):0.129199, mape:0.563076 | test(mse):0.016807, mape:0.229381
Stock PFE Epoch[5/5] | train(mse):0.147976, mape:0.594121 | test(mse):0.014194, mape:0.138415
Stock PFE Epoch[5/5] | train(mse):0.096865, mape:0.444013 | test(mse):0.019787, mape:0.254583
Stock PFE Epoch[5/5] | train(mse):0.131355, mape:0.568937 | test(mse):0.010562, mape:0.157435
Stock PFE Epoch[5/5] | train(mse):0.117335, mape:0.565106 | test(mse):0.010449, mape:0.127055
Stock PFE Epoch[5/5] | train(mse):0.111712, mape:0.514290 | test(mse):0.024980, mape:0.191079
Stock PFE Epoch[5/5] | train(mse):0.101047, mape:0.517496 | test(mse):0.016340, mape:0.149732
results/7ed58e84-c739-11ec-8ceb-2c6dc18fe93c

Stock PFE Epoch[20/20] | train(mse):0.033384, mape:0.226070 | test(mse):0.009972, mape:0.128180
results/d40d6bad-c739-11ec-ba48-2c6dc18fe93c

Stock PFE Epoch[20/20] | train(mse):0.033477, mape:0.226751 | test(mse):0.009913, mape:0.129082
results/25903ea1-c73b-11ec-a80c-2c6dc18fe93c

